what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502251117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502253189
error,log,,,"IWAE0027E Could not retrieve the validation configuration for resource goFast_Android.",1331502257811
error,log,,,"Resource '/goFast_Android' is not open.",1331502257848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502257873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502266379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1331502266410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502268936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502269231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502272454
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1331502292807
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1331502292878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502295136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1331502295161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331502319281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508389101
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1331508399848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508404465
error,log,,,"Failed to load properties file for project 'DD2'",1331508593260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508593397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508598296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508605056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508607478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508610633
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331508615507
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331508615518
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1331508615528
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1331508615698
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331508619519
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331508619519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508628961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508643419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508645305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508654381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508671070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508679399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331508680231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508681488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508683026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508683428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508685621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508688334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331508689529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508691228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508692243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508693061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508693608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508694661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508695048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331508696249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508697733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508699136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508700086
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331508719029
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331508719157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1331508725634
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1331508736984
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1331508737051
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1331508737209
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1331508737210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508740210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508751355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508754816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331508755993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508757031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508757762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331508760882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331508764497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508765281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508766770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331508771005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508776298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508780404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508782455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508782931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1331508784292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331508785424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508786776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331508787426
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331508824133
