what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331516231363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516234040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516260929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516279345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516299693
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331516303216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516305015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516305065
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331516305085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516305093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516351445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516351564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516353806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516382740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516393360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516395844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516418188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516435592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516444843
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1331516448719
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1331516448756
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1331516449303
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1331516449376
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1331516449488
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1331516449525
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1331516449622
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1331516449637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331516449716
